record_index,tile_art_index,back_bar_color,main_bar_color,front_bar_color
10,4,116,32,39
10,5,116,32,39
10,6,116,32,39
10,7,116,32,39
10,8,116,32,39
10,9,116,32,39
10,10,116,32,39
10,11,116,32,39
10,12,116,32,39
10,13,116,32,39
10,14,116,32,39
11,0,164,133,41
11,1,164,133,41
11,2,164,133,41
11,3,164,133,41
11,4,24,165,133
11,5,24,165,133
11,6,24,165,133
11,7,20,108,165
11,8,20,108,165
11,9,20,108,165
11,10,20,108,165
11,11,20,108,165
11,12,20,108,165
11,13,20,108,165
11,14,20,108,165
12,0,113,200,188
12,1,113,200,188
12,2,113,200,188
12,3,113,200,188
12,4,113,200,188
12,5,113,200,188
12,6,113,200,188
12,7,113,200,188
12,8,113,200,188
12,9,113,200,188
12,10,113,200,188
12,11,23,29,40
12,12,23,29,40
12,13,80,20,26
12,14,80,20,26
13,0,23,29,40
13,1,23,29,40
13,2,23,29,40
13,3,23,29,40
13,4,23,29,40
13,5,24,210,38
13,6,24,210,38
13,7,24,210,38
13,8,24,210,38
13,9,24,210,38
13,10,24,210,38
13,11,24,210,38
13,12,24,210,38
13,13,24,210,38
13,14,24,210,38
14,0,199,135,43
14,1,199,135,43
14,2,199,135,43
14,3,199,135,43
14,4,199,135,43
14,5,199,135,43
14,6,199,135,43
14,7,199,135,43
14,8,199,135,43
14,9,199,135,43
14,10,199,135,43
14,11,199,135,43
14,12,199,135,43
14,13,199,135,43
14,14,199,135,43
15,0,22,29,37
15,1,22,29,37
15,2,22,29,37
15,3,22,29,37
15,4,22,24,29
15,5,22,24,29
15,6,22,24,29
15,7,214,213,24
15,8,214,213,24
15,9,214,213,24
15,10,214,213,24
15,11,214,213,24
15,12,214,213,24
15,13,214,213,24
15,14,214,213,24
16,0,179,159,72
16,1,179,159,72
16,2,179,159,72
16,3,179,159,72
16,4,179,159,72
16,5,179,159,72
16,6,179,159,72
16,7,179,159,72
16,8,179,159,72
16,9,179,159,72
16,10,179,159,72
16,11,179,159,72
16,12,179,159,72
16,13,179,159,72
16,14,179,159,72
17,0,82,113,141
17,1,82,113,141
17,2,82,113,141
17,3,82,113,141
17,4,82,113,141
17,5,82,113,141
17,6,82,113,141
17,7,82,113,141
17,8,24,33,38
17,9,24,33,38
17,10,24,33,38
17,11,24,33,38
17,12,24,33,38
17,13,23,29,40
17,14,23,29,40
18,0,82,106,188
18,1,82,106,188
18,2,82,106,188
18,3,82,106,188
18,4,82,106,188
18,5,82,106,188
18,6,82,106,188
18,7,82,106,188
18,8,82,106,188
18,9,82,106,188
18,10,82,106,188
18,11,82,106,188
18,12,19,123,141
18,13,19,123,141
18,14,19,123,141
19,0,122,131,140
19,1,122,131,140
19,2,122,131,140
19,3,122,131,140
19,4,122,131,140
19,5,122,131,140
19,6,122,131,140
19,7,122,131,140
19,8,24,210,38
19,9,24,210,38
19,10,24,210,38
19,11,24,210,38
19,12,24,210,38
19,13,24,210,38
19,14,24,210,38
20,0,136,190,191
20,1,136,190,191
20,2,136,190,191
20,3,136,190,191
20,4,136,190,191
20,5,136,190,191
20,6,136,190,191
20,7,136,190,191
20,8,136,190,191
20,9,136,190,191
20,10,136,190,191
20,11,136,190,191
20,12,136,190,191
20,13,136,190,191
20,14,136,190,191
21,0,178,75,74
21,1,178,75,74
21,2,178,75,74
21,3,178,74,73
21,4,178,74,73
21,5,178,74,73
21,6,178,74,73
21,7,178,74,73
21,8,178,74,73
21,9,178,74,73
21,10,178,74,73
21,11,178,74,73
21,12,178,74,73
21,13,178,74,73
21,14,178,74,73
22,0,99,116,39
22,1,99,116,39
22,2,99,116,39
22,3,99,116,39
22,4,99,116,39
22,5,99,116,39
22,6,99,116,39
22,7,99,116,39
22,8,99,116,39
22,9,99,116,39
22,10,99,116,39
22,11,99,116,39
22,12,99,116,39
22,13,99,116,39
22,14,99,116,39
