faction_id_0to7,source_palette_index,remapped_palette_index
6,103,217
6,104,218
6,105,218
6,106,218
6,107,218
6,108,218
6,109,218
6,110,218
6,111,218
6,112,218
6,113,218
6,114,218
6,115,218
6,116,218
6,117,218
6,118,218
6,119,219
6,120,219
6,121,219
6,122,219
6,123,219
6,124,219
6,125,219
6,126,219
6,127,219
6,128,219
6,129,219
6,130,219
6,131,219
6,132,219
6,133,219
6,134,219
6,135,219
6,136,220
6,137,220
6,138,220
6,139,220
6,140,220
6,141,220
6,142,220
6,143,220
6,210,220
6,211,219
6,212,217
6,213,216
6,214,215
7,16,80
7,17,209
7,18,209
7,19,144
7,20,86
7,21,86
7,22,86
7,23,86
7,24,88
7,25,88
7,26,145
7,27,146
7,28,146
7,29,146
7,30,147
7,31,147
7,32,106
7,33,106
7,34,120
7,35,120
7,36,120
7,37,120
7,38,120
7,39,120
7,40,183
7,41,183
7,42,183
7,43,183
7,44,183
7,45,183
7,46,190
7,47,190
7,48,190
7,49,190
7,50,190
7,51,190
7,52,190
7,53,190
7,54,190
7,55,190
7,56,190
7,57,190
7,58,190
7,59,190
7,60,190
7,61,190
7,62,190
7,63,190
7,64,190
7,81,80
7,82,80
7,83,80
7,84,80
7,85,80
7,86,80
7,87,80
7,88,80
7,89,209
7,90,209
7,91,209
7,92,209
7,93,209
7,94,209
7,95,209
7,96,145
7,97,145
7,98,145
7,99,146
7,100,146
7,101,146
7,102,146
7,103,146
7,104,147
7,105,147
7,107,106
7,108,106
7,109,106
7,110,106
7,111,106
7,112,106
7,113,106
7,114,106
7,115,106
7,116,106
7,117,106
7,118,106
7,119,106
7,120,106
7,121,106
7,122,106
7,123,106
7,124,106
7,125,106
7,126,106
7,127,106
7,128,120
7,129,120
7,130,183
7,131,183
7,132,183
7,133,183
7,134,183
7,135,183
7,136,183
7,137,183
7,138,183
7,139,183
7,140,183
7,141,183
7,142,183
7,143,183
7,160,106
7,161,106
7,162,106
7,163,106
7,164,120
7,165,120
7,166,120
7,167,120
7,168,120
7,169,120
7,170,183
7,171,183
7,172,183
7,173,183
7,174,190
7,175,190
7,210,120
7,211,146
7,212,145
7,213,209
7,214,80
7,215,86
7,216,88
7,217,106
7,218,120
7,219,120
7,220,183
7,221,183
7,222,190
7,223,190
